LP|Substancja czynna|Nazwa  postać i dawka|Zawartość opakowania|Numer GTIN lub inny kod jednoznacznie identyfikujący produkt|Termin wejścia w życie decyzji|Okres obowiązywania decyzji|Grupa limitowa|Urzędowa cena zbytu|Cena hurtowa brutto|Cena detaliczna|Wysokość limitu finansowania|Zakres wskazań objętych refundacją|Zakres wskazań pozarejestracyjnych objętych refundacją|Poziom odpłatności|Wysokość dopłaty świadczeniobiorcy
1|8-Methoxypsoralenum|Oxsoralen, kaps. miękkie, 10 mg|50 szt.|05909990244713|2022-01-01|3 lata|52.0, Leki przeciwłuszczycowe do stosowania ogólnego - psoraleny - metoksalen|12,74|13,38|17,56|17,56|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||30%|5,27
2|Acarbosum|Adeksa, tabl., 100 mg|30 szt.|05909990893423|2019-05-01|3 lata|17.0, Doustne leki przeciwcukrzycowe - inhibitory alfaglukozydazy - akarboza|13,28|13,94|18,23|18,23|Cukrzyca||30%|5,47
3|Acarbosum|Adeksa, tabl., 50 mg|30 szt.|05909990893386|2019-05-01|3 lata|17.0, Doustne leki przeciwcukrzycowe - inhibitory alfaglukozydazy - akarboza|7,45|7,82|10,41|9,12|Cukrzyca||30%|4,03
4|Acarbosum|Glucobay 100, tabl., 100 mg|30 szt.|05909990285518|2022-01-01|3 lata|17.0, Doustne leki przeciwcukrzycowe - inhibitory alfaglukozydazy - akarboza|13,28|13,94|18,23|18,23|Cukrzyca||30%|5,47
5|Acarbosum|Glucobay 50, tabl., 50 mg|30 szt.|05909990285419|2022-01-01|3 lata|17.0, Doustne leki przeciwcukrzycowe - inhibitory alfaglukozydazy - akarboza|7,45|7,82|10,41|9,12|Cukrzyca||30%|4,03
6|Acebutololi hydrochloridum|Acebutolol Aurovitas, tabl. powl., 200 mg|30 szt.|05909991370916|2020-01-01|3 lata|40.0, Leki beta-adrenolityczne - selektywne - do stosowania doustnego|6,18|6,49|8,34|5,94|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||ryczałt|5,60
7|Acebutololi hydrochloridum|Acebutolol Aurovitas, tabl. powl., 400 mg|30 szt.|05909991370954|2020-01-01|3 lata|40.0, Leki beta-adrenolityczne - selektywne - do stosowania doustnego|12,38|13,00|16,27|11,89|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||ryczałt|7,58
8|Acebutololum|Acebutolol Gedeon Richter, tabl. powl., 200 mg|30 szt.|05909990109920|2022-01-01|3 lata|40.0, Leki beta-adrenolityczne - selektywne - do stosowania doustnego|8,75|9,19|11,04|5,94|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||ryczałt|8,30
9|Acebutololum|Acebutolol Gedeon Richter, tabl. powl., 400 mg|30 szt.|05909990110018|2022-01-01|3 lata|40.0, Leki beta-adrenolityczne - selektywne - do stosowania doustnego|16,31|17,13|20,40|11,89|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||ryczałt|11,71
10|Acenocoumarolum|Acenocumarol WZF, tabl., 4 mg|60 szt.|05909990055715|2022-01-01|3 lata|21.0, Leki przeciwzakrzepowe z grupy antagonistów witaminy K|8,32|8,74|11,86|11,86|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||ryczałt|5,12
11|Aciclovirum|Aciclovir Aurovitas, tabl., 200 mg|30 szt.|05909991413590|2021-09-01|3 lata|115.2, Leki przeciwwirusowe - acyklowir - postacie do stosowania doustnego|9,70|10,19|13,74|12,35|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||50%|7,57
12|Aciclovirum|Aciclovir Aurovitas, tabl., 400 mg|30 szt.|05909991413675|2021-09-01|3 lata|115.2, Leki przeciwwirusowe - acyklowir - postacie do stosowania doustnego|15,66|16,44|22,00|22,00|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||50%|11,00
13|Aciclovirum|Aciclovir Aurovitas, tabl., 800 mg|30 szt.|05909991413736|2021-09-01|3 lata|115.2, Leki przeciwwirusowe - acyklowir - postacie do stosowania doustnego|31,32|32,89|41,47|41,47|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||50%|20,74
14|Aciclovirum|Hascovir, tabl., 200 mg|30 szt.|05909991049515|2022-01-01|3 lata|115.2, Leki przeciwwirusowe - acyklowir - postacie do stosowania doustnego|9,72|10,21|13,75|12,35|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||50%|7,58
15|Aciclovirum|Hascovir, tabl., 400 mg|30 szt.|05909991052218|2022-01-01|3 lata|115.2, Leki przeciwwirusowe - acyklowir - postacie do stosowania doustnego|16,20|17,01|22,57|22,57|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||50%|11,29
16|Aciclovirum|Hascovir, tabl., 800 mg|30 szt.|05909990835782|2019-05-01|3 lata|115.2, Leki przeciwwirusowe - acyklowir - postacie do stosowania doustnego|32,40|34,02|42,60|42,60|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||50%|21,30
17|Aciclovirum|Heviran, tabl. powl., 200 mg|30 szt.|05909990840014|2022-01-01|3 lata|115.2, Leki przeciwwirusowe - acyklowir - postacie do stosowania doustnego|11,52|12,10|15,64|12,35|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||50%|9,47
18|Aciclovirum|Heviran, tabl. powl., 400 mg|30 szt.|05909990840113|2022-01-01|3 lata|115.2, Leki przeciwwirusowe - acyklowir - postacie do stosowania doustnego|21,03|22,08|27,64|24,70|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||50%|15,29
19|Aciclovirum|Heviran, tabl. powl., 800 mg|30 szt.|05909990840229|2022-01-01|3 lata|115.2, Leki przeciwwirusowe - acyklowir - postacie do stosowania doustnego|38,87|40,81|49,39|49,39|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||50%|24,70
20|Acidum alendronicum|Alendran 70, tabl., 70 mg|4 szt. (1 blist.po 4 szt.)|05909990072156|2022-01-01|3 lata|147.0, Leki stosowane w chorobach kości - bisfosfoniany doustne - kwas alendronowy i ryzendronowy|8,26|8,67|11,80|11,80|Osteoporoza||30%|3,54
21|Acidum alendronicum|Alendrogen, tabl., 70 mg|4 szt.|05909990623112|2022-01-01|3 lata|147.0, Leki stosowane w chorobach kości - bisfosfoniany doustne - kwas alendronowy i ryzendronowy|6,59|6,92|10,05|10,05|Osteoporoza||30%|3,02
22|Acidum alendronicum|Alendronat Bluefish, tabl., 70 mg|4 szt.|05909990737673|2019-09-01|3 lata|147.0, Leki stosowane w chorobach kości - bisfosfoniany doustne - kwas alendronowy i ryzendronowy|5,40|5,67|8,80|8,80|Osteoporoza||30%|2,64
23|Acidum alendronicum|Alendronic Acid Genoptim, tabl., 70 mg|4 szt. (1 blist.po 4 szt.)|05909990675302|2019-07-01|3 lata|147.0, Leki stosowane w chorobach kości - bisfosfoniany doustne - kwas alendronowy i ryzendronowy|5,94|6,24|9,37|9,37|Osteoporoza||30%|2,81
24|Acidum alendronicum|Ostemax 70 comfort, tabl., 70 mg|4 szt.|05909991081713|2022-01-01|3 lata|147.0, Leki stosowane w chorobach kości - bisfosfoniany doustne - kwas alendronowy i ryzendronowy|8,46|8,88|12,01|11,90|Osteoporoza||30%|3,68
25|Acidum alendronicum|Ostenil 70, tabl., 70 mg|4 szt.|05909991087418|2022-01-01|3 lata|147.0, Leki stosowane w chorobach kości - bisfosfoniany doustne - kwas alendronowy i ryzendronowy|8,48|8,90|12,03|11,90|Osteoporoza||30%|3,70
26|Acidum alendronicum|Ostenil 70, tabl., 70 mg|6 szt.|05909991087425|2022-01-01|3 lata|147.0, Leki stosowane w chorobach kości - bisfosfoniany doustne - kwas alendronowy i ryzendronowy|12,71|13,35|17,48|17,48|Osteoporoza||30%|5,24
27|Acidum alendronicum|Ostolek, tabl. powl., 70 mg|4 szt. (1 blist.po 4 szt.)|05909991032517|2022-01-01|3 lata|147.0, Leki stosowane w chorobach kości - bisfosfoniany doustne - kwas alendronowy i ryzendronowy|8,35|8,77|11,90|11,90|Osteoporoza||30%|3,57
28|Acidum folicum|Acidum folicum Richter, tabl., 15 mg|30 szt.|05909990109319|2022-01-01  - dla kolumny M, <1>2019-05-01/<2>2019-11-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|27.0, Kwas foliowy i pochodne - kwas foliowy|4,00|4,20|5,88|5,88|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji|<1> choroby reumatyczne - u pacjentów leczonych metotreksatem; <2> łuszczyca - u pacjentów leczonych metotreksatem|ryczałt|5,88
29|Acidum folicum|Acidum folicum Richter, tabl., 5 mg|30 szt.|05909990109210|2022-01-01  - dla kolumny M, <1>2019-05-01/<2>2019-11-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|27.0, Kwas foliowy i pochodne - kwas foliowy|2,81|2,95|3,51|1,96|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji|<1> choroby reumatyczne - u pacjentów leczonych metotreksatem; <2> łuszczyca - u pacjentów leczonych metotreksatem|ryczałt|3,51
30|Acidum mycophenolicum|Marelim, tabletki dojelitowe, 180 mg|120 tabl.|05909991227272|2017-05-01  - dla kolumny M, 2020-09-01  - dla kolumny N|5 lat - dla kolumny M, 3 lata - dla kolumny N|134.0, Leki przeciwnowotworowe i immunomodulujące - leki immunosupresyjne - kwas mykofenolowy i jego pochodne|98,28|103,19|115,65|92,96|Stan po przeszczepie narządu unaczynionego bądź szpiku|stan po przeszczepie kończyny, rogówki, tkanek lub komórek|ryczałt|25,89
